"size_cat","dist_cat","renovated","location","size","dist_km","price"
"Small","Near",-1,-1,-1,1.83672966342353,920186.634964705
"Small","Near",-1,-1,-0.97752808988764,-1.6403516719845,538365.270327454
"Small","Near",-1,-1,-0.955056179775281,-1.13093499204277,753008.536659366
"Small","Near",-1,-1,-0.932584269662921,-0.841997924589278,687319.989665234
"Small","Near",-1,-1,-0.910112359550562,-1.39344080641712,792542.545263041
"Small","Near",-1,-1,-0.887640449438202,-1.3631099023709,550496.448239924
"Small","Near",-1,-1,-0.865168539325843,0.339246891302593,835584.214085898
"Small","Near",-1,-1,-0.842696629213483,-0.51891016672027,384294.491250329
"Small","Near",-1,-1,-0.820224719101124,-0.242359806396046,571694.949756219
"Small","Near",-1,-1,-0.797752808988764,1.80189818280594,616721.645588325
"Small","Near",-1,-1,-0.775280898876405,-0.0241561860395782,734657.76015522
"Small","Near",-1,-1,-0.752808988764045,2.34254687491696,741710.987822733
"Small","Near",-1,-1,-0.730337078651685,1.91418452593063,628995.737121088
"Small","Near",-1,-1,-0.707865168539326,-0.0363093517655669,446335.507342882
"Small","Near",-1,-1,-0.685393258426966,1.54267468306069,696116.717074484
"Small","Near",-1,-1,-0.662921348314607,0.121225635727293,373023.671064811
"Small","Near",-1,-1,-0.640449438202247,-1.23331809052501,818253.298899099
"Small","Near",-1,-1,-0.617977528089888,-0.63990815882192,822622.206768861
"Small","Near",-1,-1,-0.595505617977528,-0.330464773397457,790906.187506382
"Small","Near",-1,-1,-0.573033707865169,0.669459306524897,666266.169520346
"Small","Near",-1,-1,-0.550561797752809,0.527983024803863,573525.905621516
"Small","Near",-1,-1,-0.528089887640449,0.400512004240132,724793.42749287
"Small","Near",-1,-1,-0.50561797752809,1.00807240230116,755419.540540525
"Small","Near",-1,-1,-0.48314606741573,-1.67895102694854,755192.108656433
"Small","Near",-1,-1,-0.460674157303371,0.988899562054386,494131.601259332
"Small","Near",-1,-1,-0.438202247191011,-0.0928870228102443,911187.95925673
"Small","Near",-1,-1,-0.415730337078652,0.482137609848861,435268.911884598
"Small","Near",-1,-1,-0.393258426966292,0.328540274726394,835485.489228659
"Small","Near",-1,-1,-0.370786516853933,-1.23931986535251,818161.645944248
"Small","Near",-1,-1,-0.348314606741573,-0.525393716538661,701189.024392176
"Small","Near",-1,-1,-0.325842696629213,-1.11324327584041,385558.549843088
"Small","Near",-1,-1,-0.303370786516854,0.483255807967269,915141.881680381
"Small","Near",-1,-1,-0.280898876404494,-0.117864359192801,766193.870093916
"Small","Near",-1,-1,-0.258426966292135,-0.300046496779002,619031.187414605
"Small","Near",-1,-1,-0.235955056179775,-0.635132679994456,774400.201307138
"Small","Near",-1,-1,-0.213483146067416,-0.769830588782885,911851.359052423
"Small","Near",-1,-1,-0.191011235955056,0.796746240412525,733809.804688756
"Small","Near",-1,-1,-0.168539325842697,-1.2989597550012,657436.718519603
"Small","Near",-1,-1,-0.146067415730337,-0.329180018807686,399749.074930356
"Small","Near",-1,-1,-0.123595505617978,0.135040225009651,822851.631298971
"Small","Near",-1,-1,-0.101123595505618,1.04553336278392,546254.504098294
"Small","Near",-1,-1,-0.0786516853932584,-0.865396742254097,789832.136669572
"Small","Near",-1,-1,-0.0561797752808989,-0.44457490694247,798267.172954137
"Small","Near",-1,-1,-0.0337078651685394,-1.46375731986829,715545.891571396
"Small","Near",-1,-1,-0.0112359550561798,-0.536279570553324,844473.304136291
"Small","Near",-1,-1,0.0112359550561798,-0.539856244044199,522070.30053501
"Small","Near",-1,-1,0.0337078651685392,1.21912545812857,723628.730908949
"Small","Near",-1,-1,0.0561797752808988,0.466735412449673,805489.998113456
"Small","Near",-1,-1,0.0786516853932584,-0.0169916508561398,696414.039802207
"Small","Near",-1,-1,0.101123595505618,0.820492397190227,820623.88279411
"Small","Near",-1,-1,0.123595505617978,-0.366384438741563,402214.663365248
"Small","Near",-1,-1,0.146067415730337,-0.104372686732855,501811.054651859
