"size","dist_km","renovated","location","size_cat","dist_cat","price"
121.894380031154,78.3765771758044,"Yes","Rural","Small","Far",1221638.55217944
247.076283860952,5.9926125400234,"No","Urban","Large","Near",2587093.78033712
152.244230452925,17.0688995392993,"No","Urban","Medium","Far",1830559.0648912
270.754351001233,2.14890145685058,"No","Urban","Large","Near",2692242.47710996
285.116821073461,55.2828150155256,"No","Rural","Large","Near",1913495.59231697
61.3891248474829,96.0850413201842,"No","Rural","Small","Far",837081.252688437
182.026372011751,93.656593260821,"No","Rural","Medium","Far",1341276.98816875
273.104761098512,12.1375432458008,"No","Urban","Large","Near",2672117.07237661
187.858753616456,28.2947912767995,"No","Urban","Medium","Far",2011831.84977977
164.153683825862,80.1047171780374,"Yes","Rural","Medium","Far",1421195.72925743
289.20833633747,30.9475308402907,"Yes","Urban","Large","Far",2927048.67401466
163.333539047744,16.1963102582376,"Yes","Urban","Medium","Far",2061959.10373458
219.392658863217,28.3235733136535,"Yes","Urban","Medium","Far",2554489.85183502
193.158350489102,11.0051437194925,"Yes","Urban","Medium","Near",2418560.64537992
75.7311706664041,11.5672257045517,"Yes","Urban","Small","Near",1544161.0532614
274.956242600456,6.08418565883767,"No","Urban","Large","Near",2809415.58556529
111.521933588665,20.6855950679164,"No","Urban","Small","Far",1595748.77767994
60.5148833827116,81.6936594434083,"Yes","Rural","Small","Far",1021446.92360739
131.980179820675,38.3026711386628,"Yes","Rural","Small","Near",1420646.89745088
288.625912286807,7.1793831231771,"Yes","Urban","Large","Near",3083052.72987827
272.384829015937,4.27632143604569,"No","Urban","Large","Near",2745307.7863544
223.20085153915,11.4033281817101,"No","Urban","Large","Near",2398964.04007325
210.126703442074,19.949397138902,"No","Urban","Medium","Far",2269235.75176126
298.567444155924,70.7120363425929,"Yes","Rural","Large","Far",2201895.66804749
213.926449778955,7.45392344531137,"No","Urban","Medium","Near",2301876.26550048
227.132617041934,14.0733025642112,"No","Urban","Large","Near",2437324.3892659
186.016506177839,5.54955637850799,"Yes","Urban","Medium","Near",2269612.06514695
198.535505111795,75.1819829281885,"No","Rural","Medium","Far",1439343.18632337
122.289934323635,25.1267635069089,"No","Urban","Small","Far",1640386.23793199
86.7784118279815,99.5151627459563,"Yes","Rural","Small","Far",1068031.51304854
290.756058134139,8.54405393288471,"No","Urban","Large","Near",2848249.83964247
275.574761279859,26.0866416028002,"Yes","Urban","Large","Far",2830992.56199826
222.676319605671,14.9460261045024,"No","Urban","Large","Near",2377612.83453013
248.866854421794,6.35341928701382,"Yes","Urban","Large","Near",2736091.05671021
56.1534211272374,64.0195797622437,"No","Rural","Small","Near",782193.914216253
169.448992772959,31.5124600143172,"No","Urban","Medium","Far",1944334.32688138
239.614884380717,59.1792286245618,"No","Rural","Large","Near",1723872.84540483
104.10198395839,17.4597980950493,"No","Urban","Small","Far",1574560.87198035
129.545251908712,22.6960285175592,"Yes","Urban","Small","Far",1946546.70612877
107.906446338166,98.7626184377586,"Yes","Rural","Small","Far",1116510.38994357
85.7000055955723,22.8092763756867,"Yes","Urban","Small","Far",1523768.60510398
153.63658395363,28.7020517832134,"Yes","Urban","Medium","Far",1975849.96539705
153.431081573945,5.44558319577482,"Yes","Urban","Medium","Near",2098920.91625663
142.211362731177,9.35522605583537,"No","Urban","Medium","Near",1848763.71159812
88.1111869355664,61.6057945904322,"No","Rural","Small","Near",972329.053405478
84.7015158622526,12.1481793916319,"Yes","Urban","Small","Near",1672478.05048607
108.258524863049,30.3667477678973,"No","Urban","Small","Far",1531395.1768794
166.490612563211,89.807873503305,"No","Rural","Medium","Far",1264208.59552724
116.493160091341,21.3298620441929,"No","Urban","Small","Far",1581996.839011
264.456928835716,48.3080285380129,"No","Rural","Large","Near",1853473.27336347
61.4577916683629,18.720846031094,"Yes","Urban","Small","Far",1369579.52002728
160.550018551294,16.7126067216741,"No","Urban","Medium","Far",1881701.2310503
249.731211410835,17.7209754360374,"No","Urban","Large","Far",2567003.00619102
80.474814993795,48.5273988434346,"No","Rural","Small","Near",925212.023780607
190.236995939631,19.9510717561934,"No","Urban","Medium","Far",2152362.83661001
101.632847404107,9.29019338893704,"No","Urban","Small","Near",1532448.22986553
81.8829125608318,21.3710183213698,"No","Urban","Small","Far",1369785.79114123
238.326966075692,79.0575202391483,"No","Rural","Large","Far",1715475.67762453
273.761339788325,18.4640690792585,"No","Urban","Large","Far",2750910.71710466
143.615693971515,78.8482251594542,"Yes","Rural","Medium","Far",1335622.09272884
216.278798657004,24.4166944804601,"No","Urban","Medium","Far",2376146.40289973
73.710165231023,71.8795909098117,"Yes","Rural","Small","Far",980519.399604703
145.992409449536,12.6084652089048,"No","Urban","Medium","Near",1854635.00444693
118.595911143348,14.8991701321211,"Yes","Urban","Small","Near",1711177.65701526
253.660009719897,44.1312632762128,"No","Rural","Large","Near",1891698.77441495
162.129085347988,89.079305519117,"No","Rural","Medium","Far",1325076.84580557
252.5160882622,36.9056497921702,"Yes","Rural","Large","Near",2037067.56347847
253.097377379891,16.8669250912499,"No","Urban","Large","Far",2605638.98246931
248.585580277722,80.5613859725418,"No","Rural","Large","Far",1699759.001345
